$,$,$
Fonzie,6966,38
Fonzie,2521,5
Fonzie,6344,4
Fonzie,5833,19
Fonzie,4976,26
Fonzie,6320,5
Fonzie,5010,2
Fonzie,5750,20
Fonzie,7485,2
Fonzie,6638,2
Fonzie,4705,1
Fonzie,7436,20
Fonzie,7472,7
Fonzie,7556,50
Fonzie,5559,38
Fonzie,2848,32
Fonzie,5844,1
Fonzie,795,1
Fonzie,6506,1
Fonzie,2764,212
Fonzie,7547,4
Fonzie,6204,6
Fonzie,7623,1
Fonzie,7561,1
Fonzie,2155,1
$,$,$
Lele,4964,43
Lele,7603,1
Lele,1930,1
Lele,2788,28
Lele,6485,4
Lele,6495,3
Lele,5675,5
Lele,4807,15
Lele,4177,2
Lele,5862,2
Lele,7414,1
Lele,632,32
Lele,152,25
Lele,1850,16
Lele,6844,16
Lele,7625,10
Lele,6677,2
Lele,6833,1
Lele,5680,1
Lele,5951,60
Lele,531,94
Lele,2038,42
Lele,2061,53
Lele,5734,20
Lele,6831,5
$,$,$
Christian,5116,55
Christian,6248,3
Christian,2814,3
Christian,2120,30
Christian,5365,4
Christian,4317,23
Christian,6496,7
Christian,6202,1
Christian,2816,21
Christian,4210,3
Christian,7220,3
Christian,5589,27
Christian,7314,15
Christian,6884,34
Christian,1870,34
Christian,4287,2
Christian,6717,1
Christian,827,2
Christian,779,3
Christian,7523,6
Christian,6397,215
Christian,6215,2
Christian,6164,2
Christian,5918,1
Christian,7449,1
$,$,$
Pulpone & Loris,2134,7
Pulpone & Loris,6534,3
Pulpone & Loris,4360,6
Pulpone & Loris,5641,18
Pulpone & Loris,4998,37
Pulpone & Loris,6766,2
Pulpone & Loris,4734,4
Pulpone & Loris,5695,5
Pulpone & Loris,6989,5
Pulpone & Loris,6893,3
Pulpone & Loris,5838,1
Pulpone & Loris,6875,79
Pulpone & Loris,7126,67
Pulpone & Loris,6274,22
Pulpone & Loris,5507,3
Pulpone & Loris,536,10
Pulpone & Loris,5888,1
Pulpone & Loris,6666,4
