Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"Fonzie","Butez","COM","P","Por",38,15,15,6966
"Fonzie","De Gea","FIO","P","Por",5,10,10,2521
"Fonzie","Sanchez Ro.","COM","P","Por",4,8,8,6344
"Fonzie","Gila","MIL","D","Dc",19,12,12,5833
"Fonzie","Kalulu","JUV","D","Dc,Dd",26,13,14,4976
"Fonzie","Doekhi","LAZ","D","Dc",5,8,8,6320
"Fonzie","Ismajli","TOR","D","Dc",2,7,7,5010
"Fonzie","Ostigard","GEN","D","Dc",20,10,10,5750
"Fonzie","Mangas","MON","D","Ds,E",2,9,9,7485
"Fonzie","Marin R.","NAP","D","Dc",2,2,2,6638
"Fonzie","Balerdi","ROM","D","Dc",1,7,7,4705
"Fonzie","Alajbegovic","JUV","C","W,T",20,11,11,7436
"Fonzie","Calò","FRO","C","M,C",7,9,10,7472
"Fonzie","Mora","ROM","C","T",50,20,19,7556
"Fonzie","Da Cunha","COM","C","C,T",38,18,18,5559
"Fonzie","Frattesi","LAZ","C","C,T",32,11,11,2848
"Fonzie","Thorstvedt","SAS","C","C,T",1,10,10,5844
"Fonzie","El Shaarawy","GEN","C","W",1,7,6,795
"Fonzie","Fini","FRO","C","W",1,5,5,6506
"Fonzie","Martinez L.","INT","A","Pc",212,34,34,2764
"Fonzie","Kevin Carlos","CAG","A","Pc",4,11,10,7547
"Fonzie","Kvernadze","FRO","A","W,A",6,9,10,6204
"Fonzie","Gnonto","FIO","A","W,A",1,7,8,7623
"Fonzie","Lontani","PAR","A","A",1,5,5,7561
"Fonzie","Cutrone","MON","A","Pc",1,9,8,2155
"Lele","Vicario","JUV","P","Por",43,16,16,4964
"Lele","Grabara","JUV","P","Por",1,1,1,7603
"Lele","Pinsoglio","JUV","P","Por",1,1,1,1930
"Lele","Bremer","JUV","D","Dc",28,16,16,2788
"Lele","Kristensen T.","ATA","D","Dc,Dd",4,6,7,6485
"Lele","Comuzzo","TOR","D","Dc",3,8,8,6495
"Lele","Theate","BOL","D","Dc,Ds",5,8,9,5675
"Lele","Hermoso","ROM","D","Dc",15,11,11,4807
"Lele","Pavard","INT","D","Dc,Dd",2,6,6,4177
"Lele","Valeri","PAR","D","Ds,E",2,9,9,5862
"Lele","Kaiki","COM","D","Ds,E",1,8,8,7414
"Lele","Zaccagni","LAZ","C","W,A",32,16,16,632
"Lele","Zielinski","INT","C","C",25,13,13,152
"Lele","Kessiè","ATA","C","C",16,11,11,1850
"Lele","Rowe","ATA","C","W,T",16,10,10,6844
"Lele","Goncalves P.","FIO","C","W,T",10,11,11,7625
"Lele","Adzic","SAS","C","C,T",2,9,9,6677
"Lele","Mbangula","BOL","C","W,A",1,7,7,6833
"Lele","Sarr P.","JUV","C","M,C",1,7,7,5680
"Lele","Kolo Muani","JUV","A","Pc",60,24,24,5951
"Lele","Berardi","SAS","A","A",94,18,19,531
"Lele","Pinamonti","LAZ","A","Pc",42,11,11,2038
"Lele","Simeone","TOR","A","Pc",53,14,14,2061
"Lele","Soulè","ROM","A","A",20,15,16,5734
"Lele","Neres","NAP","A","W,A",5,5,6,6831
"Christian","Martinez Jo.","INT","P","Por",55,16,16,5116
"Christian","Stankovic F.","VEN","P","Por",3,5,5,6248
"Christian","Provedel","INT","P","Por",3,1,1,2814
"Christian","Bastoni","INT","D","Dc",30,14,14,2120
"Christian","Dragusin","FIO","D","Dc",4,8,8,5365
"Christian","N'Dicka","ROM","D","Dc",23,12,12,4317
"Christian","Bartesaghi","MIL","D","Ds,E",7,8,8,6496
"Christian","Beukema","NAP","D","Dc",1,5,5,6202
